"""","出身高校の所在地都道府県_入学者総  数(人)","出身高校の所在地都道府県_和歌山県(人)","出身高校の所在地都道府県_出身高校の所在地都道府県大阪府(人)","出身高校の所在地都道府県_兵庫県(人)","出身高校の所在地都道府県_奈良県(人)","出身高校の所在地都道府県_京都府(人)","出身高校の所在地都道府県_滋賀県(人)","出身高校の所在地都道府県_愛知県(人)","出身高校の所在地都道府県_三重県(人)","出身高校の所在地都道府県_その他(人)"
"平成24年(2012年)_短期大学","194.0","184.0","7.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0"
"平成24年(2012年)_短期大学_私立","194.0","184.0","7.0","0.0","0.0","0.0","0.0","0.0","1.0","2.0"
"","","","","","","","","","",""
"平成24年(2012年)_大学","1676.0","492.0","648.0","138.0","65.0","18.0","18.0","30.0","17.0","250.0"
"平成24年(2012年)_大学_国立","970.0","306.0","366.0","70.0","40.0","10.0","12.0","17.0","9.0","140.0"
"平成24年(2012年)_大学_公立","182.0","97.0","50.0","10.0","13.0","2.0","1.0","2.0","0.0","7.0"
"平成24年(2012年)_大学_私立","524.0","89.0","232.0","58.0","12.0","6.0","5.0","11.0","8.0","103.0"
"","","","","","","","","","",""
"","","","","","","","","","",""
"平成25年(2013年)_短期大学","221.0","209.0","8.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0"
"平成25年(2013年)_短期大学_私立","221.0","209.0","8.0","0.0","1.0","0.0","0.0","0.0","0.0","3.0"
"","","","","","","","","","",""
"平成25年(2013年)_大学","1627.0","473.0","619.0","122.0","61.0","42.0","15.0","32.0","16.0","247.0"
"平成25年(2013年)_大学_国立","972.0","317.0","362.0","65.0","29.0","21.0","10.0","12.0","8.0","148.0"
"平成25年(2013年)_大学_公立","181.0","82.0","49.0","11.0","10.0","8.0","1.0","6.0","1.0","13.0"
"平成25年(2013年)_大学_私立","474.0","74.0","208.0","46.0","22.0","13.0","4.0","14.0","7.0","86.0"
"","","","","","","","","","",""
"","","","","","","","","","",""
"平成26年(2014年)_短期大学","213.0","209.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"平成26年(2014年)_短期大学_私立","213.0","209.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"","","","","","","","","","",""
"平成26年(2014年)_大学","1601.0","479.0","662.0","94.0","65.0","44.0","12.0","26.0","16.0","203.0"
"平成26年(2014年)_大学_国立","941.0","301.0","380.0","47.0","40.0","17.0","6.0","15.0","10.0","125.0"
"平成26年(2014年)_大学_公立","180.0","101.0","48.0","8.0","7.0","5.0","0.0","4.0","0.0","7.0"
"平成26年(2014年)_大学_私立","480.0","77.0","234.0","39.0","18.0","22.0","6.0","7.0","6.0","71.0"
